Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Arctibax,100,997,dragon,ice,87.9,70.5,108,669271,27,767,Dragon Breath,Dragon Claw,Icy Wind,13,12,5,75000
Slowbro,94.3,80,water,psychic,81.1,86.5,103,722560,22,767,Confusion,Drain Punch,Scald,3,4,3,50000
Cofagrigus,94,563,ghost,none,79.9,118.3,78,737269,24.5,767,Shadow Claw,Shadow Ball,Dark Pulse,7,6,3,50000
Starmie,93.2,121,water,psychic,95.3,87.3,74,615657,21.5,767,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Weezing (Galarian),93.2,110,poison,fairy,84.2,99.8,83,697462,24.5,767,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Golisopod,92.3,768,bug,water,88.7,96.3,77,657719,17.5,767,Shadow Claw,Aqua Jet,X-Scissor,5,5,1,10000
Hypno,91.5,97,psychic,none,74,102.3,105,794871,27,767,Confusion,Psyshock,Shadow Ball,3,4,3,50000
Ninetales (Alolan),91.2,38,ice,fairy,81.9,97.4,89,709958,24,766,Powder Snow,Weather Ball (Ice),Psyshock,5,5,3,50000
Dewgong,90.9,87,water,ice,73,98,112,801248,28.5,766,Ice Shard,Aqua Jet,Drill Run,4,4,3,50000
Raichu (Alolan),90.5,26,electric,psychic,96.9,78.7,79,602456,24,766,Volt Switch,Wild Charge,Psyshock,3,3,1,10000
Tentacruel,90.5,73,water,poison,77.9,102.7,93,744031,23,765,Acid,Scald,Payback,7,8,3,50000
Haunter,90.2,93,ghost,poison,115.3,61.2,72,508058,28,766,Shadow Claw,Shadow Punch,Dark Pulse,5,6,3,50000
Qwilfish,90.2,211,water,poison,93.9,75.5,88,623872,27,766,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Baxcalibur,90,998,dragon,ice,97.1,68.5,91,605273,15.5,768,Dragon Breath,Glaive Rush,Icy Wind,10,12,5,75000
Runerigus,89.7,867,ground,ghost,79.9,118.3,78,737269,24.5,767,Shadow Claw,Brutal Swing,Rock Tomb,5,7,3,50000
Amoonguss,89.5,591,grass,poison,78.2,75.8,126,746873,26.5,767,Astonish,Foul Play,Grass Knot,4,5,3,50000
Skeledirge,89.5,911,fire,ghost,86.7,78.5,99,673789,18.5,767,Hex,Shadow Ball,Torch Song,4,4,3,10000
Vanillish,89.4,583,ice,none,94.9,92.4,93,815495,40.5,882,Astonish,Icy Wind,Signal Beam,5,6,3,50000
Piloswine,88.9,221,ice,ground,86.6,71.2,110,678251,24,767,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Frigibax,88.7,996,dragon,ice,100.7,68.2,120,824129,50,912,Dragon Breath,Dragon Claw,Icy Wind,13,12,5,75000
Castform (Snowy),88.4,351,ice,none,85.9,92.5,111,881978,39.5,873,Powder Snow,Weather Ball (Ice),Ice Beam,5,7,5,75000
