Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Dewgong,95.9,87,water,ice,101.9,136.8,157,2188567,28.5,1495,Ice Shard,Aqua Jet,Drill Run,4,4,3,50000
Ninetales (Alolan),95.5,38,ice,fairy,114.5,136.1,125,1947931,24,1497,Powder Snow,Weather Ball (Ice),Psyshock,5,5,3,50000
Golisopod,94.5,768,bug,water,124,134.6,108,1802563,17.5,1497,Shadow Claw,Aqua Jet,X-Scissor,5,5,1,10000
Weezing (Galarian),93.9,110,poison,fairy,117.6,139.4,116,1901639,24.5,1497,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Glalie,93.8,362,ice,none,115.2,120.8,140,1948262,27,1498,Rollout,Shadow Ball,Avalanche,4,4,3,50000
Arctibax,93.6,997,dragon,ice,122.8,98.5,151,1826466,27,1498,Dragon Breath,Dragon Claw,Icy Wind,13,12,5,75000
Piloswine,93.6,221,ice,ground,121,99.4,154,1852220,24,1498,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Hypno,93.5,97,psychic,none,103.4,143,147,2173571,27,1499,Confusion,Psyshock,Shadow Ball,3,4,3,50000
Tentacruel,93.5,73,water,poison,108.9,143.5,131,2047157,23,1494,Acid,Scald,Payback,7,8,3,50000
Qwilfish,93.1,211,water,poison,131.1,105.4,123,1699607,27,1495,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Starmie,92.5,121,water,psychic,133.1,122,104,1688773,21.5,1499,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Arbok,91.9,24,poison,none,123.7,120.1,122,1812477,29,1498,Acid,Brutal Swing,Wrap,5,6,3,50000
Runerigus,91.2,867,ground,ghost,111.7,165.2,109,2011360,24.5,1499,Shadow Claw,Brutal Swing,Rock Tomb,5,7,3,50000
Cofagrigus,90.8,563,ghost,none,111.7,165.2,109,2011360,24.5,1499,Shadow Claw,Shadow Ball,Dark Pulse,7,6,3,50000
Swalot,90.8,317,poison,none,103.4,122.7,171,2169508,28.5,1498,Mud Shot,Sludge,Ice Beam,5,7,1,10000
Ledian,90.5,166,bug,flying,101.3,162.4,133,2187999,49.5,1494,Rollout,Acrobatics,Dynamic Punch,5,4,1,10000
Weezing,90.1,110,poison,none,117.5,140.2,116,1910926,25,1499,Rollout,Dark Pulse,Shadow Ball,4,4,3,50000
Skeledirge,89.7,911,fire,ghost,121.2,109.7,139,1848094,18.5,1499,Hex,Shadow Ball,Torch Song,4,4,3,10000
Slowbro,89.6,80,water,psychic,113.4,120.9,144,1974249,22,1500,Confusion,Drain Punch,Scald,3,4,3,50000
Vanillish,89.4,583,ice,none,123.6,120.4,122,1815536,40.5,1498,Astonish,Icy Wind,Signal Beam,5,6,3,50000
Castform (Snowy),89.2,351,ice,none,112.6,121.3,146,1994123,39.5,1500,Powder Snow,Weather Ball (Ice),Ice Beam,5,7,5,75000
Charjabug,89,737,bug,electric,114.7,134.7,126,1946711,36.5,1495,Volt Switch,X-Scissor,Crunch,3,3,1,10000
Dragalge,89,691,poison,dragon,117.8,143,113,1903530,23.5,1499,Dragon Tail,Aqua Tail,Outrage,3,5,3,50000
