Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Starmie,100,121,water,psychic,95.3,87.3,74,615657,21.5,767,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Dhelmise,98.5,781,ghost,grass,100,78.2,75,586500,20,767,Shadow Claw,Brutal Swing,Shadow Ball,5,7,5,50000
Piloswine,97.2,221,ice,ground,86.6,71.2,110,678251,24,767,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Mamoswine,96.9,473,ice,ground,97.4,62.5,99,602663,16.5,767,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Haunter,96.6,93,ghost,poison,115.3,61.2,72,508058,28,766,Shadow Claw,Shadow Punch,Dark Pulse,5,6,3,50000
Bruxish,96.3,779,water,psychic,97.6,73.3,83,593789,23,765,Confusion,Psyshock,Psychic Fangs,3,3,3,50000
Runerigus,95.3,867,ground,ghost,79.9,118.3,78,737269,24.5,767,Shadow Claw,Brutal Swing,Rock Tomb,5,7,3,50000
Arbok,95,24,poison,none,88.5,85.9,87,661387,29,767,Acid,Brutal Swing,Wrap,5,6,3,50000
Arctibax,94.8,997,dragon,ice,87.9,70.5,108,669271,27,767,Dragon Breath,Dragon Claw,Icy Wind,13,12,5,75000
Vanillish,94.5,583,ice,none,94.9,92.4,93,815495,40.5,882,Astonish,Icy Wind,Signal Beam,5,6,3,50000
Raichu (Alolan),94.1,26,electric,psychic,96.9,78.7,79,602456,24,766,Volt Switch,Wild Charge,Psyshock,3,3,1,10000
Skeledirge,94,911,fire,ghost,86.7,78.5,99,673789,18.5,767,Hex,Shadow Ball,Torch Song,4,4,3,10000
Drifblim,93.9,426,ghost,flying,85.2,54.2,149,688058,23.5,767,Astonish,Mystical Fire,Shadow Ball,5,5,5,75000
Banette,93.8,354,ghost,none,103.9,66,82,562307,24,766,Shadow Claw,Shadow Ball,Thunder,7,8,3,50000
Qwilfish,93.6,211,water,poison,93.9,75.5,88,623872,27,766,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Cofagrigus,93.5,563,ghost,none,79.9,118.3,78,737269,24.5,767,Shadow Claw,Shadow Ball,Dark Pulse,7,6,3,50000
Baxcalibur,93.3,998,dragon,ice,97.1,68.5,91,605273,15.5,768,Dragon Breath,Glaive Rush,Icy Wind,10,12,5,75000
Weezing (Galarian),93.3,110,poison,fairy,84.2,99.8,83,697462,24.5,767,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
