Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Dhelmise,100,781,ghost,grass,100,78.2,75,586500,20,767,Shadow Claw,Brutal Swing,Shadow Ball,5,7,5,50000
Starmie,99,121,water,psychic,95.3,87.3,74,615657,21.5,767,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Mamoswine,95.4,473,ice,ground,97.4,62.5,99,602663,16.5,767,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Cofagrigus,93.1,563,ghost,none,79.9,118.3,78,737269,24.5,767,Shadow Claw,Shadow Ball,Dark Pulse,7,6,3,50000
Grumpig,91,326,psychic,none,81.1,94,94,716600,23.5,766,Psywave,Mirror Coat,Shadow Ball,12,13,1,10000
Runerigus,91,867,ground,ghost,79.9,118.3,78,737269,24.5,767,Shadow Claw,Brutal Swing,Rock Tomb,5,7,3,50000
Weezing (Galarian),89.1,110,poison,fairy,84.2,99.8,83,697462,24.5,767,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Bruxish,88.1,779,water,psychic,97.6,73.3,83,593789,23,765,Confusion,Psyshock,Psychic Fangs,3,3,3,50000
Hypno,87.6,97,psychic,none,74,102.3,105,794871,27,767,Confusion,Psyshock,Shadow Ball,3,4,3,50000
Slowking (Galarian),87.6,199,poison,psychic,83.9,84.4,99,701035,20.5,767,Acid,Psyshock,Shadow Ball,5,7,3,50000
Vanillish,87,583,ice,none,94.9,92.4,93,815495,40.5,882,Astonish,Icy Wind,Signal Beam,5,6,3,50000
Golisopod,86.9,768,bug,water,88.7,96.3,77,657719,17.5,767,Shadow Claw,Aqua Jet,X-Scissor,5,5,1,10000
Qwilfish,86.3,211,water,poison,93.9,75.5,88,623872,27,766,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Haunter,85.8,93,ghost,poison,115.3,61.2,72,508058,28,766,Shadow Claw,Shadow Punch,Dark Pulse,5,6,3,50000
Raichu (Alolan),85.5,26,electric,psychic,96.9,78.7,79,602456,24,766,Volt Switch,Wild Charge,Psyshock,3,3,1,10000
Houndstone,84.4,972,ghost,none,86.1,93.2,85,682084,22,766,Bite,Shadow Ball,Psychic Fangs,13,9,3,50000
Arbok,84.3,24,poison,none,88.5,85.9,87,661387,29,767,Acid,Brutal Swing,Wrap,5,6,3,50000
Avalugg,84.3,713,ice,none,80,101.1,91,736008,17.5,767,Bite,Avalanche,Body Slam,12,10,3,50000
Slowbro (Galarian),84.1,80,poison,psychic,85.2,77.5,104,686712,22.5,767,Confusion,Brutal Swing,Sludge Bomb,3,4,3,50000
Tentacruel,83.2,73,water,poison,77.9,102.7,93,744031,23,765,Acid,Scald,Payback,7,8,3,50000
Dewgong,83.1,87,water,ice,73,98,112,801248,28.5,766,Ice Shard,Aqua Jet,Drill Run,4,4,3,50000
Glalie,82.9,362,ice,none,82.4,86.4,100,711936,27,767,Rollout,Shadow Ball,Avalanche,4,4,3,50000
Mismagius,82,429,ghost,none,94.2,88.5,74,616916,21,764,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Weezing,81.8,110,poison,none,84.1,100.3,83,700124,25,768,Rollout,Dark Pulse,Shadow Ball,4,4,3,50000
Ceruledge,81.7,937,fire,ghost,97.5,81.6,75,596700,17.5,767,Ember,Shadow Ball,Heat Wave,6,5,5,50000
Gengar,81.4,94,ghost,poison,110.4,68.3,70,527822,19,765,Shadow Claw,Shadow Punch,Drain Punch,5,5,3,50000
Ninetales (Alolan),80.6,38,ice,fairy,81.9,97.4,89,709958,24,766,Powder Snow,Weather Ball (Ice),Psyshock,5,5,3,50000
Swoobat,80.5,528,psychic,flying,93.7,75.2,102,718716,34.5,821,Confusion,Fly,Psychic Fangs,4,3,1,10000
Venomoth,80.3,49,bug,poison,90.9,77,92,643936,27,766,Psywave,Silver Wind,Poison Fang,12,10,3,50000
Lampent,80,608,ghost,fire,98.4,73.5,96,694310,35,826,Astonish,Heat Wave,Energy Ball,5,5,5,75000
Piloswine,79.6,221,ice,ground,86.6,71.2,110,678251,24,767,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Orbeetle,79.4,826,bug,psychic,77.2,120.6,81,754136,25.5,765,Confusion,Psyshock,Bug Buzz,3,5,1,10000
Vikavolt,78.2,738,bug,electric,103.1,69.2,79,563627,17.5,765,Volt Switch,Fly,Discharge,3,3,1,10000
Skeledirge,78,911,fire,ghost,86.7,78.5,99,673789,18.5,767,Hex,Shadow Ball,Torch Song,4,4,3,10000
Muk,77.7,89,poison,none,82.9,79.9,105,695490,20,763,Poison Jab,Dark Pulse,Thunder Punch,7,6,3,50000
Espeon,77.1,196,psychic,none,105.9,75.6,69,552417,17.5,768,Confusion,Psychic Fangs,Shadow Ball,3,4,5,75000
Charjabug,76.8,737,bug,electric,86,101,94,816484,36.5,841,Volt Switch,X-Scissor,Crunch,3,3,1,10000
Arctibax,76.5,997,dragon,ice,87.9,70.5,108,669271,27,767,Dragon Breath,Dragon Claw,Icy Wind,13,12,5,75000
Cetoddle,76.4,974,ice,none,90.5,64.2,171,993527,50,950,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Hatterene,75.7,858,psychic,fairy,101.7,82.3,69,577524,19.5,767,Psycho Cut,Psyshock,Dazzling Gleam,5,7,5,50000
