Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Turtonator,100,776,fire,dragon,121,155.4,114,2143588,50,1616,Incinerate,Dragon Claw,Overheat,3,3,5,75000
Mimikyu,96.9,778,ghost,fairy,128.4,144.6,108,2005197,50,1610,Shadow Claw,Shadow Sneak,Play Rough,7,8,5,50000
Cobalion,96.4,638,steel,fighting,105.4,129.8,117,1600668,31,1298,Double Kick,Sacred Sword,Iron Head,3,5,20,100000
Zygarde (Complete Forme),95.2,718,dragon,ground,92.2,101.6,189,1770461,24,1278,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Corviknight,94.9,823,flying,steel,109.4,135,153,2259657,47,1573,Sand Attack,Air Cutter,Payback,9,15,1,10000
Corviknight (Shadow),94.7,823,flying,steel,109.4,135,153,2259657,47,1573,Sand Attack,Air Cutter,Payback,9,15,1,10000
Giratina (Altered),94.1,487,ghost,dragon,96.2,120.3,146,1689638,27.5,1276,Shadow Claw,Dragon Claw,Shadow Sneak,7,7,20,100000
Forretress,92.5,205,bug,steel,115.8,145.7,130,2193368,48.5,1596,Volt Switch,Rock Tomb,Sand Tomb,4,3,5,75000
Weezing (Galarian) (Shadow),92.5,110,poison,fairy,124.4,141.1,117,2053682,49,1603,Fairy Wind,Brutal Swing,Overheat,4,7,3,50000
Stunfisk (Galarian),92.4,618,ground,steel,107.4,125.7,172,2322031,50,1581,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Tinkaton,91.5,959,fairy,steel,112.8,142.6,143,2300195,50,1616,Fairy Wind,Gigaton Hammer,Bulldoze,7,5,3,75000
Forretress (Shadow),91.4,205,bug,steel,115.8,145.7,130,2193368,48.5,1596,Volt Switch,Rock Tomb,Sand Tomb,4,3,5,75000
Orthworm,91.4,968,steel,none,115.1,155.7,123,2204292,48.5,1594,Mud Slap,Rock Tomb,Earthquake,5,7,5,75000
Weezing (Galarian),90.5,110,poison,fairy,124.4,141.1,117,2053682,49,1603,Fairy Wind,Brutal Swing,Overheat,4,7,3,50000
Giratina (Altered) (Shadow),90,487,ghost,dragon,98.3,116.7,144,1651912,27,1278,Shadow Claw,Dragon Claw,Shadow Sneak,7,7,20,100000
Melmetal,89.8,809,steel,none,111,98.9,134,1471039,25.5,1278,Thunder Shock,Double Iron Bash,Dynamic Punch,4,5,20,100000
Registeel,89.3,379,steel,none,98.3,194.7,136,2602905,49,1602,Lock On,Flash Cannon,Focus Blast,13,15,20,100000
Primarina,89,730,water,fairy,120.9,106.6,104,1340346,28.5,1276,Waterfall,Disarming Voice,Hydro Cannon,5,4,3,10000
Florges,88.5,671,fairy,none,110.2,131.1,102,1473616,28.5,1277,Fairy Wind,Chilling Water,Disarming Voice,5,5,3,50000
Tapu Fini,88,788,water,fairy,109.7,149.8,105,1725471,35,1376,Water Gun,Surf,Nature's Madness,15,17,20,100000
Steelix,87.8,208,steel,ground,101.2,190.3,130,2503587,48.5,1593,Thunder Fang,Psychic Fangs,Earthquake,6,11,5,75000
Excadrill (Shadow),87.5,530,ground,steel,132,72.8,128,1230029,28,1278,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Enamorus (Therian),86.7,905,fairy,flying,127.1,107.3,94,1281956,27,1278,Fairy Wind,Mystical Fire,Moonblast,5,7,20,100000
Doublade,86.5,680,steel,ghost,125.1,144,108,1945555,46.5,1566,Shadow Claw,Sacred Sword,Gyro Ball,5,7,5,75000
Giratina (Origin),85.3,487,ghost,dragon,110.4,96,140,1483776,25,1279,Shadow Claw,Shadow Ball,Dragon Pulse,7,7,20,100000
Steelix (Shadow),84.8,208,steel,ground,101.2,190.3,130,2503587,48.5,1593,Thunder Fang,Psychic Fangs,Earthquake,6,11,5,75000
Empoleon,84.3,395,water,steel,118.6,110.3,115,1504382,33,1340,Metal Sound,Hydro Cannon,Drill Peck,5,5,3,10000
Togekiss,84.1,468,fairy,flying,115.3,115.3,106,1409174,27.5,1278,Peck,Psyshock,Aura Sphere,5,5,3,50000
Heatran,84,485,fire,steel,120.6,107.8,103,1339070,24.5,1274,Fire Spin,Magma Storm,Earth Power,4,5,20,100000
Zygarde (50% Forme),83.1,718,dragon,ground,104.8,119.1,123,1535247,26.5,1272,Dragon Tail,Crunch,Earthquake,4,6,20,100000
Kingdra,82.9,230,water,dragon,120.4,127.1,117,1790432,40.5,1470,Dragon Breath,Surf,Swift,12,9,3,50000
Magnezone (Shadow),82.9,462,electric,steel,124,112.2,94,1307803,28.5,1279,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Jirachi,82.4,385,steel,psychic,111.3,110.8,118,1455181,27.5,1275,Confusion,Doom Desire,Aura Sphere,3,3,20,100000
Sandslash (Alolan),82.3,28,ice,steel,119.2,136.3,129,2095858,47.5,1581,Shadow Claw,Ice Punch,Drill Run,5,5,3,50000
Altaria,80.9,334,dragon,flying,105.4,146,132,2031269,50,1465,Dragon Breath,Sky Attack,Flamethrower,13,14,1,10000
Garchomp (Shadow),80.6,445,dragon,ground,121.5,95.3,115,1331579,23,1276,Mud Shot,Sand Tomb,Twister,5,5,5,75000
Heatran (Shadow),80.6,485,fire,steel,122.2,106.3,101,1311976,24,1269,Fire Spin,Magma Storm,Earth Power,4,5,20,100000
Latios,80.6,381,dragon,psychic,127.8,103.5,95,1256594,24,1273,Dragon Breath,Aura Sphere,Luster Purge,10,15,20,100000
Latias,80.3,380,dragon,psychic,114.6,127.4,97,1416204,26.5,1276,Dragon Breath,Mist Ball,Aura Sphere,15,10,20,100000
