Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Florges,100,671,fairy,none,120,141.5,110,1867800,17,1497,Fairy Wind,Chilling Water,Disarming Voice,5,5,3,50000
Geodude (Alolan),100,74,rock,electric,123.5,123.5,113,1723504,50,1461,Volt Switch,Rock Tomb,Rock Slide,4,3,1,10000
Dewgong (Shadow),100,87,water,ice,101.9,136.8,157,2188567,28.5,1495,Ice Shard,Aqua Jet,Drill Run,4,4,3,50000
Cofagrigus (Shadow),100,563,ghost,none,111.7,165.2,109,2011360,24.5,1499,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Avalugg (Hisuian),100,713,ice,rock,116.4,135.1,122,1918528,16,1495,Powder Snow,Rock Slide,Icy Wind,6,6,3,50000
Aipom (Shadow),100,190,normal,none,124.3,106.7,135,1790479,50,1492,Astonish,Swift,Low Sweep,4,4,3,50000
Geodude (Alolan) (Shadow),100,74,rock,electric,123.5,123.5,113,1723504,50,1461,Volt Switch,Rock Tomb,Rock Slide,4,3,1,10000
Delcatty,100,301,normal,none,111.9,116.8,153,1999698,46.5,1496,Charm,Wild Charge,Disarming Voice,6,6,3,50000
Aipom,100,190,normal,none,124.3,106.7,135,1790479,50,1492,Astonish,Swift,Low Sweep,4,4,3,50000
Tirtouga,100,564,water,rock,114.3,132.4,129,1952198,46.5,1499,Water Gun,Surf,Ancient Power,15,15,5,75000
Mismagius (Shadow),100,429,ghost,none,131.6,123.6,104,1691639,21,1492,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Misdreavus,100,200,ghost,none,123,120.8,122,1812725,29,1495,Psywave,Shadow Sneak,Dark Pulse,13,13,3,50000
Mismagius,100,429,ghost,none,131.6,123.6,104,1691639,21,1492,Psywave,Shadow Ball,Dark Pulse,13,13,3,50000
Misdreavus (Shadow),100,200,ghost,none,123,120.8,122,1812725,29,1495,Psywave,Dark Pulse,Shadow Sneak,13,13,3,50000
Bonsly,100,438,rock,none,116.8,124.4,127,1845300,50,1472,Counter,Rock Tomb,Rock Slide,9,8,5,10000
Heliolisk,100,695,electric,normal,138.1,112.1,105,1625506,21.5,1500,Volt Switch,Parabolic Charge,Grass Knot,4,4,3,50000
Tirtouga (Shadow),100,564,water,rock,114.3,132.4,129,1952198,46.5,1499,Water Gun,Surf,Ancient Power,15,15,5,75000
Polteageist,100,855,ghost,none,142.8,115.6,95,1568230,18,1498,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Smoochum,100,238,ice,psychic,141.1,89,120,1506948,50,1459,Powder Snow,Psyshock,Ice Punch,5,5,5,10000
Spritzee,100,682,fairy,none,105,107.5,168,1896300,50,1414,Charm,Thunderbolt,Draining Kiss,7,7,3,50000
Raticate (Shadow),100,20,normal,none,125.9,116,122,1781737,34.5,1498,Quick Attack,Dig,Hyper Fang,7,7,1,10000
Crabominable,100,740,fighting,ice,136.8,88.5,135,1634418,19,1498,Bubble,Brick Break,Ice Punch,4,4,3,50000
Raticate,100,20,normal,none,125.9,116,122,1781737,34.5,1498,Quick Attack,Dig,Hyper Fang,7,7,1,10000
Sawsbuck,100,586,normal,grass,129.4,101.9,131,1727348,23,1496,Feint Attack,Trailblaze,Wild Charge,8,8,3,50000
Deerling,100,585,normal,grass,109.2,96.6,142,1497918,50,1282,Tackle,Energy Ball,Wild Charge,15,15,3,50000
Lycanroc (Midday),99.1,745,rock,none,142.7,93.1,118,1567674,20.5,1499,Sucker Punch,Drill Run,Trailblaze,6,7,5,50000
Cranidos (Shadow),99,408,rock,none,163.9,62.9,133,1371138,30,1500,Zen Headbutt,Rock Tomb,Ancient Power,9,8,5,75000
Cranidos,99,408,rock,none,163.9,62.9,133,1371138,30,1500,Zen Headbutt,Rock Tomb,Ancient Power,9,8,5,75000
Banette,98.9,354,ghost,none,145.2,92.2,115,1539556,24,1496,Shadow Claw,Shadow Ball,Dazzling Gleam,7,7,3,50000
Banette (Shadow),98.9,354,ghost,none,145.9,91.6,115,1536911,24,1498,Shadow Claw,Shadow Ball,Dazzling Gleam,7,7,3,50000
Dewgong,98.8,87,water,ice,101.9,136.8,157,2188567,28.5,1495,Ice Shard,Icy Wind,Drill Run,5,4,3,50000
Vanilluxe,98.3,584,ice,none,131.5,117.3,110,1696744,19.5,1499,Astonish,Avalanche,Flash Cannon,5,7,3,50000
Comfey,98.1,764,fairy,none,116.2,157.5,105,1921658,26.5,1500,Vine Whip,Grass Knot,Draining Kiss,7,7,3,50000
Blissey,98.1,242,normal,none,81,111.2,307,2765210,20.5,1498,Zen Headbutt,Wild Charge,Dazzling Gleam,8,10,5,75000
Swirlix,98,684,fairy,none,104.1,112.5,145,1698131,50,1330,Tackle,Energy Ball,Draining Kiss,15,19,3,50000
Primarina,97.5,730,water,fairy,131.6,115.6,112,1703852,17,1499,Waterfall,Hydro Cannon,Disarming Voice,4,5,3,10000
Kabuto,97.4,140,rock,water,134.4,129.4,96,1669571,49,1497,Mud Shot,Aqua Jet,Rock Tomb,5,6,5,75000
Teddiursa,97.4,216,normal,none,131.5,90.5,142,1689907,49.5,1492,Lick,Cross Chop,Trailblaze,12,15,3,50000
Teddiursa (Shadow),97.4,216,normal,none,131.5,90.5,142,1689907,49.5,1492,Lick,Cross Chop,Trailblaze,12,15,3,50000
Rampardos (Shadow),97.2,409,rock,none,162.2,67.3,126,1375424,16.5,1495,Smack Down,Rock Slide,Flamethrower,6,7,5,75000
Rampardos,97.2,409,rock,none,162.2,67.3,126,1375424,16.5,1495,Smack Down,Rock Slide,Flamethrower,6,7,5,75000
Stonjourner,96.9,874,rock,none,125.5,107.9,132,1787471,17,1498,Rock Throw,Rock Slide,Stone Edge,9,11,5,75000
Arctibax,96.8,997,dragon,ice,122.8,98.5,151,1826466,27,1498,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Frigibax,96.8,996,dragon,ice,125.2,84.9,149,1583793,50,1410,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Cofagrigus,96.7,563,ghost,none,111.7,165.2,109,2011360,24.5,1499,Shadow Claw,Shadow Ball,Return,7,9,3,50000
Exploud,96.7,295,normal,none,119.7,99.4,157,1868014,24,1498,Astonish,Crunch,Disarming Voice,5,5,1,10000
Exploud (Shadow),96.7,295,normal,none,119.7,99.4,157,1868014,24,1498,Astonish,Crunch,Disarming Voice,5,5,1,10000
Stoutland,96.7,508,normal,none,123.8,116.1,125,1796647,19.5,1495,Sand Attack,Wild Charge,Crunch,12,12,1,10000
Granbull (Shadow),96.7,210,fairy,none,135.3,88.3,139,1660632,22,1499,Charm,Close Combat,Crunch,6,6,3,50000
Loudred (Shadow),96.7,294,normal,none,125.2,80.7,178,1798448,50,1500,Bite,Disarming Voice,Stomp,23,20,1,10000
Granbull,96.7,210,fairy,none,135.3,88.3,139,1660632,22,1499,Charm,Close Combat,Crunch,6,6,3,50000
Loudred,96.7,294,normal,none,125.2,80.7,178,1798448,50,1500,Bite,Disarming Voice,Stomp,23,20,1,10000
Bergmite,96.7,712,ice,none,110.9,113.4,135,1697768,50,1373,Tackle,Icy Wind,Crunch,15,15,3,50000
Haunter,96.5,93,ghost,poison,161.1,85.5,101,1391179,28,1497,Shadow Claw,Shadow Punch,Ice Punch,5,5,3,50000
Darumaka (Galarian),96.5,554,ice,none,131.9,82.3,157,1704293,50,1500,Ice Fang,Ice Punch,Ice Beam,7,10,3,50000
Dusclops,96.4,356,ghost,none,102.4,197.6,108,2185298,42,1495,Hex,Fire Punch,Shadow Punch,4,3,3,50000
Dusclops (Shadow),96.4,356,ghost,none,102.4,197.6,108,2185298,42,1495,Hex,Fire Punch,Shadow Punch,4,3,3,50000
Buneary,96.3,427,normal,none,121.8,100.8,135,1657454,50,1422,Quick Attack,Swift,Fire Punch,5,5,3,50000
Boldore (Shadow),96.2,525,rock,none,125.3,109.2,130,1778759,27.5,1498,Mud Slap,Rock Slide,Stone Edge,5,6,3,50000
Dwebble (Shadow),96,557,bug,rock,111.7,120.1,127,1703727,50,1383,Smack Down,Rock Tomb,X-Scissor,7,5,1,10000
Dwebble,96,557,bug,rock,111.7,120.1,127,1703727,50,1383,Smack Down,Rock Tomb,X-Scissor,7,5,1,10000
Carracosta (Shadow),95.9,565,water,rock,121.4,127,120,1850136,21.5,1499,Rock Throw,Ancient Power,Liquidation,9,9,5,75000
Carracosta,95.9,565,water,rock,121.4,127,120,1850136,21.5,1499,Rock Throw,Liquidation,Ancient Power,9,9,5,75000
Tauros,95.9,128,normal,none,125.1,119.5,120,1793934,21.5,1499,Tackle,Trailblaze,Iron Head,15,17,3,50000
Cloyster (Shadow),95.9,91,water,ice,119,169.7,93,1878070,22,1497,Ice Shard,Icy Wind,Liquidation,5,5,3,50000
Cloyster,95.9,91,water,ice,119,169.7,93,1878070,22,1497,Ice Shard,Icy Wind,Liquidation,5,5,3,50000
Glaceon,95.9,471,ice,none,135.7,122.3,99,1643015,17.5,1496,Ice Shard,Avalanche,Water Pulse,5,5,5,75000
Glalie,95.8,362,ice,none,115.2,120.8,140,1948262,27,1498,Rollout,Avalanche,Shadow Ball,4,4,3,50000
Cryogonal,95.7,615,ice,none,115.8,137.9,121,1932227,20,1496,Ice Shard,Night Slash,Triple Axel,4,5,5,75000
Floette,95.6,670,fairy,none,114.2,134.4,127,1949257,44,1497,Vine Whip,Dazzling Gleam,Petal Blizzard,7,9,3,50000
Flabebe,95.6,669,fairy,none,103.3,113.4,119,1393992,50,1201,Vine Whip,Dazzling Gleam,Petal Blizzard,7,9,3,50000
