Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Palkia (Shadow),100,484,water,dragon,132.5,104,89,1226420,23,1277,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Palkia,99.3,484,water,dragon,130.6,103.1,92,1238767,23,1276,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Latios (Shadow),97.8,381,dragon,psychic,129.2,103,94,1250914,24,1272,Dragon Breath,Aura Sphere,Luster Purge,10,15,20,100000
Alakazam (Mega),96.6,65,psychic,none,159,94,68,1016328,20,1278,Psycho Cut,Fire Punch,Shadow Ball,5,6,3,50000
Mewtwo (Shadow),96,150,psychic,none,137.4,85.1,100,1169274,21.5,1270,Psycho Cut,Psystrike,Shadow Ball,5,6,20,100000
Mewtwo,95.3,150,psychic,none,136.5,86.4,101,1191154,21.5,1275,Psycho Cut,Psystrike,Shadow Ball,5,6,20,100000
Lugia (Shadow),95.2,249,psychic,flying,96.5,152.3,114,1675452,24.5,1274,Dragon Tail,Fly,Aeroblast,4,7,20,100000
Latias (Shadow),95.1,380,dragon,psychic,116.9,122.8,97,1392466,26,1279,Dragon Breath,Aura Sphere,Mist Ball,10,15,20,100000
Latios,95,381,dragon,psychic,127.8,103.5,95,1256594,24,1273,Dragon Breath,Aura Sphere,Luster Purge,10,15,20,100000
Kyurem,94.9,646,dragon,ice,122.3,86.7,126,1336030,26,1279,Dragon Breath,Glaciate,Dragon Claw,10,13,20,100000
Kyogre (Shadow),94.9,382,water,none,124.6,105.3,98,1285797,22,1269,Waterfall,Avalanche,Thunder,5,6,20,100000
Kyogre,94.9,382,water,none,124.2,107.4,98,1307230,22.5,1276,Waterfall,Avalanche,Thunder,5,6,20,100000
Lugia,94.4,249,psychic,flying,94.6,154.3,118,1722420,25,1276,Dragon Tail,Fly,Aeroblast,4,7,20,100000
Blastoise (Mega),93.8,9,water,none,122.8,115.5,93,1319056,23,1273,Rollout,Hydro Cannon,Ice Beam,4,5,3,10000
Salamence (Shadow),93.6,373,dragon,flying,133,85.7,108,1230995,24,1279,Dragon Tail,Brutal Swing,Fly,3,4,5,75000
Dragonite (Shadow),93.6,149,dragon,flying,125.5,99.7,103,1288772,24,1277,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Aerodactyl (Mega),93.4,142,rock,flying,133.1,100.4,91,1216055,22,1278,Dragon Breath,Rock Slide,Earth Power,12,13,5,75000
Baxcalibur,92.9,998,dragon,ice,125.5,88.3,117,1296553,25.5,1279,Dragon Breath,Glaive Rush,Avalanche,10,12,5,75000
Tapu Lele,92.8,786,psychic,fairy,128.6,108.2,90,1252307,26,1270,Astonish,Nature's Madness,Psyshock,5,4,20,100000
Necrozma (Dusk Mane),92.5,800,psychic,steel,127.4,106.5,94,1275401,22.5,1279,Shadow Claw,Sunsteel Strike,Dark Pulse,9,7,20,100000
Latias,92.4,380,dragon,psychic,114.6,127.4,97,1416204,26.5,1276,Dragon Breath,Aura Sphere,Mist Ball,10,15,20,100000
Solgaleo,92.3,791,psychic,steel,119.2,93.5,123,1370860,23,1279,Fire Spin,Psychic Fangs,Iron Head,4,5,20,100000
Necrozma (Dawn Wings),92.1,800,psychic,ghost,127.4,106.5,94,1275401,22.5,1279,Shadow Claw,Moongeist Beam,Dark Pulse,9,7,20,100000
Gyarados (Shadow),92.1,130,water,flying,120.2,98.8,114,1353837,27,1279,Dragon Breath,Aqua Tail,Twister,9,10,1,10000
Sceptile (Mega),92.1,254,grass,dragon,147,90.1,83,1099310,22,1277,Fury Cutter,Leaf Blade,Dragon Claw,9,13,3,10000
Xurkitree,91.8,796,electric,none,153.1,72.4,96,1064106,23,1277,Thunder Shock,Discharge,Dazzling Gleam,5,7,20,100000
Zapdos (Shadow),90.6,145,electric,flying,126.9,95.1,105,1267160,25.5,1269,Thunder Shock,Drill Peck,Heat Wave,5,5,20,100000
Pidgeot (Mega),90.6,18,normal,flying,135.7,89.8,98,1194214,25,1279,Wing Attack,Brave Bird,Twister,7,5,1,10000
Malamar (Mega),90.4,687,dark,psychic,110,123,109,1474770,29.5,1277,Psywave,Foul Play,Superpower,10,10,3,50000
Zapdos,90.3,145,electric,flying,126,96,107,1294272,25.5,1277,Thunder Shock,Drill Peck,Heat Wave,5,5,20,100000
Dragonite,90.2,149,dragon,flying,125.5,99.7,103,1288772,24,1277,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Sylveon,90,700,fairy,none,108.9,114.1,120,1491059,30,1278,Fairy Wind,Moonblast,Shadow Ball,7,6,5,75000
Gyarados,89.9,130,water,flying,120.2,98.8,114,1353837,27,1279,Dragon Breath,Aqua Tail,Twister,9,10,1,10000
Landorus (Therian),89.5,645,ground,flying,135.2,88.9,99,1189909,23,1271,Mud Shot,Sandsear Storm,Stone Edge,5,7,20,100000
Mew,89.5,151,psychic,none,111.3,110.8,118,1455181,27.5,1275,Shadow Claw,Psyshock,Wild Charge,5,6,20,100000
Giratina (Altered),89.4,487,ghost,dragon,96.2,120.3,146,1689638,27.5,1276,Shadow Claw,Dragon Claw,Shadow Sneak,7,7,20,100000
Florges,89.1,671,fairy,none,110.2,131.1,102,1473616,28.5,1277,Fairy Wind,Chilling Water,Moonblast,5,7,3,50000
Goodra,89.1,706,dragon,none,109.6,125.2,108,1481967,26,1276,Dragon Breath,Aqua Tail,Thunder Punch,9,10,5,75000
Salamence,89.1,373,dragon,flying,133,85.7,108,1230995,24,1279,Dragon Tail,Brutal Swing,Fly,3,4,5,75000
Abomasnow (Mega),89,460,grass,ice,121.2,100.8,110,1343866,27,1277,Powder Snow,Icy Wind,Energy Ball,6,6,3,50000
Aurorus (Shadow),88.7,699,rock,ice,108.9,102.1,160,1778990,36,1394,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Slowbro (Mega),88.7,80,water,psychic,107.8,129.6,108,1508855,24.5,1277,Confusion,Surf,Drain Punch,4,3,3,50000
Zacian (Hero),88.5,888,fairy,none,121.3,115.2,95,1327507,24,1274,Quick Attack,Wild Charge,Play Rough,6,8,20,100000
Mamoswine (Shadow),88.4,473,ice,ground,125.8,80.2,128,1291412,27.5,1278,Powder Snow,High Horsepower,Icicle Spear,8,5,3,50000
Togekiss,88.3,468,fairy,flying,115.3,115.3,106,1409174,27.5,1278,Peck,Dazzling Gleam,Aura Sphere,7,5,3,50000
Avalugg (Hisuian),88.2,713,ice,rock,108.2,123.5,113,1509985,26.5,1279,Powder Snow,Rock Slide,Icy Wind,6,6,3,50000
Thundurus (Therian),88.1,642,electric,flying,143.8,82.7,95,1129765,25,1278,Volt Switch,Wildbolt Storm,Focus Blast,3,5,20,100000
