Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Emolga,100,587,electric,flying,97.3,84.1,95,777378,39.5,871,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Gengar,100,94,ghost,poison,110.4,68.3,70,527822,19,765,Shadow Claw,Shadow Punch,Shadow Ball,5,7,3,50000
Hypno,100,97,psychic,none,74,102.3,105,794871,27,767,Confusion,Shadow Ball,Psyshock,4,3,3,50000
Trevenant,98.6,709,ghost,grass,91.4,74.9,94,643511,22,767,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
Girafarig,98.1,203,normal,psychic,93.2,72.7,93,630135,27.5,767,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Galvantula,96.4,596,bug,electric,98.9,69,87,593697,25.5,768,Fury Cutter,Cross Poison,Lunge,9,12,3,50000
Decidueye,96.1,724,grass,ghost,91.5,82.5,85,641644,20,767,Astonish,Frenzy Plant,Spirit Shackle,5,4,3,10000
Eelektrik,95.7,603,electric,none,91.1,82,101,754490,35.5,830,Acid,Crunch,Discharge,6,5,1,10000
Dartrix,94.9,723,grass,flying,84.3,86.6,115,839544,36.5,842,Peck,Brave Bird,Seed Bomb,7,5,3,10000
Delphox,94.9,655,fire,psychic,94.9,82.7,79,620010,18,767,Fire Spin,Psyshock,Blast Burn,4,5,3,10000
Scyther,94.9,123,bug,flying,96.5,78.3,80,604476,20.5,768,Fury Cutter,X-Scissor,Night Slash,10,9,5,75000
Ampharos,93.9,181,electric,none,90.7,77.2,92,644188,19.5,766,Volt Switch,Brutal Swing,Power Gem,3,4,5,75000
Xatu,93.7,178,psychic,flying,94.6,77.2,85,620765,25.5,768,Peck,Psyshock,Aerial Ace,5,6,3,50000
Kricketune,93.4,402,bug,none,96.6,67.7,116,758619,38,856,Fury Cutter,X-Scissor,Aerial Ace,10,12,1,10000
