Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Gyarados,100,130,water,flying,93.6,77.6,86,624649,16.5,766,Dragon Breath,Twister,Aqua Tail,10,9,1,10000
Drampa,98.6,780,normal,dragon,97.9,74.6,82,598874,19,767,Dragon Breath,Swift,Outrage,9,15,5,75000
Barbaracle,98.5,689,rock,water,86.5,95.2,82,675254,20.5,767,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Lokix,98.5,920,bug,dark,95,74.4,87,614916,24,767,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Milotic,98.5,350,water,none,81,95.8,93,721661,18.5,767,Dragon Tail,Aqua Tail,Wrap,3,4,5,75000
Shelgon,98.4,372,dragon,none,88.2,85.2,88,661288,27.5,766,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Dragonair,98.4,148,dragon,none,91.7,82.3,93,701863,33,803,Dragon Breath,Aqua Tail,Wrap,9,12,5,75000
Kabutops,97.8,141,rock,water,96.9,85.7,73,606216,20.5,767,Fury Cutter,Stone Edge,Aqua Jet,14,10,5,75000
Goodra,97.4,706,dragon,none,85.6,95.9,83,681350,16,767,Dragon Breath,Aqua Tail,Thunder Punch,9,10,5,75000
Tyranitar,96.9,248,rock,dark,92.8,79.7,85,628674,14.5,767,Dragon Breath,Brutal Swing,Stone Edge,9,14,5,75000
Pelipper,96.8,279,water,flying,88.2,92.1,82,666104,26,768,Wing Attack,Weather Ball (Water),Hurricane,5,8,3,50000
Perrserker,96.5,863,steel,none,92.1,81.1,85,634891,23,768,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Sliggoo,96,705,dragon,none,81.7,95.7,92,719319,27.5,767,Dragon Breath,Body Slam,Dragon Pulse,9,14,5,75000
