Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Barbaracle,100,689,rock,water,86.5,95.2,82,675254,20.5,767,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Altaria,98,334,dragon,flying,74,108.7,98,788292,28.5,767,Dragon Breath,Moonblast,Flamethrower,15,14,1,10000
Dondozo,97.8,977,water,none,74.8,78.5,133,780949,18.5,767,Waterfall,Outrage,Liquidation,6,5,5,75000
Golisopod,97,768,bug,water,88.7,96.3,77,657719,17.5,767,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Shelgon,95.6,372,dragon,none,88.2,85.2,88,661288,27.5,766,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Metang,95.2,375,steel,psychic,81.4,108.9,96,850988,36,836,Fury Cutter,Psyshock,Gyro Ball,10,13,5,75000
Blastoise,95,9,water,none,80.2,98.5,93,734672,23,767,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Perrserker,95,863,steel,none,92.1,81.1,85,634891,23,768,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Lapras,94.9,131,water,ice,74.9,82,128,786150,21.5,767,Psywave,Sparkling Aria,Dragon Pulse,12,14,5,75000
Seaking,93.2,119,water,none,87.2,78,99,673358,26,767,Peck,Drill Run,Megahorn,5,7,3,50000
Skarmory,93,227,steel,flying,75.5,119.2,86,773966,27,768,Air Slash,Brave Bird,Sky Attack,7,6,5,75000
Gyarados,92.9,130,water,flying,93.6,77.6,86,624649,16.5,766,Dragon Breath,Twister,Aqua Tail,10,9,1,10000
Dewgong,92.5,87,water,ice,73,98,112,801248,28.5,766,Ice Shard,Icy Wind,Drill Run,5,4,3,50000
Castform (Rainy),91.8,351,water,none,85.9,92.5,111,881978,39.5,873,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Klinklang,91.8,601,steel,none,88.9,99.8,74,656544,21,766,Thunder Shock,Zap Cannon,Mirror Shot,9,4,5,75000
Pelipper,91.4,279,water,flying,88.2,92.1,82,666104,26,768,Wing Attack,Weather Ball (Water),Hurricane,5,8,3,50000
Samurott,91.2,503,water,none,91.6,72.2,97,641511,19.5,768,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Wailord,91.2,321,water,none,84.7,48.2,169,689949,24.5,766,Rollout,Surf,Return,4,6,1,10000
Walrein,90.3,365,ice,water,80.5,82.2,110,727881,20.5,767,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Dragonite,90.1,149,dragon,flying,97.2,76.8,81,604662,14.5,766,Dragon Breath,Superpower,Thunder Punch,10,10,5,75000
Kabutops,90.1,141,rock,water,96.9,85.7,73,606216,20.5,767,Fury Cutter,Stone Edge,Aqua Jet,14,10,5,75000
Sliggoo,89.8,705,dragon,none,81.7,95.7,92,719319,27.5,767,Dragon Breath,Body Slam,Dragon Pulse,9,14,5,75000
Milotic,89.6,350,water,none,81,95.8,93,721661,18.5,767,Dragon Tail,Aqua Tail,Wrap,3,4,5,75000
Drapion,88.5,452,poison,dark,84.3,97.9,84,693249,22.5,768,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
